Date,Close,UpDown,Comp,Change,Open,High,Low,Volume,Amount,MarCap
2025-01-23,2515.49,2,-31.57,-1.24,2541.24,2541.6,2515.49,609742131,9907820760947,2056088891657315.2
2025-01-24,2536.8,1,21.31,0.85,2529.29,2542.83,2522.64,602014660,10179284029760,2073049460254918.0
2025-01-31,2517.37,2,-19.43,-0.77,2534.33,2537.98,2496.95,454403356,13759431159982,2057132279189022.0
2025-02-03,2453.95,2,-63.42,-2.52,2468.74,2468.74,2437.61,522848036,11649962821524,2005228762346524.8
2025-02-04,2481.69,1,27.74,1.13,2481.44,2508.35,2471.63,479377343,11000937680837,2028588344752300.0
2025-02-05,2509.27,1,27.58,1.11,2503.94,2514.71,2498.74,437344153,9949594557748,2056473640972619.2
2025-02-06,2536.75,1,27.48,1.1,2521.82,2536.75,2515.34,479697230,11863047995673,2078576667689643.2
2025-02-07,2521.92,2,-14.83,-0.58,2532.09,2537.63,2519.01,419872051,10240140504999,2066649815662131.2
2025-02-10,2521.27,2,-0.65,-0.03,2510.64,2527.33,2499.18,393563727,10582465784194,2067049975510715.2
2025-02-11,2539.05,1,17.78,0.71,2532.87,2549.44,2527.74,451092989,11023156462010,2081311465922200.0
2025-02-12,2548.39,1,9.34,0.37,2534.71,2549.58,2528.74,464894178,13668983788526,2088883959979358.0
2025-02-13,2583.17,1,34.78,1.36,2558.95,2583.74,2555.98,680341736,17104156094956,2116865565381814.0
2025-02-14,2591.05,1,7.88,0.31,2588.2,2600.57,2582.84,499364641,13917625961701,2123295637182044.0
2025-02-17,2610.42,1,19.37,0.75,2595.99,2612.8,2592.57,366339998,11017333473620,2138576064568082.0
2025-02-18,2626.81,1,16.39,0.63,2613.25,2628.47,2605.15,421993118,12618242477587,2152414939585228.8
2025-02-19,2671.52,1,44.71,1.7,2633.91,2680.7,2633.91,525798791,14851621874895,2190321476628339.2
2025-02-20,2654.06,2,-17.46,-0.65,2661.72,2667.59,2645.53,529303324,14551190986281,2176898820918304.0
2025-02-21,2654.58,1,0.52,0.02,2653.76,2656.04,2638.44,444704240,11381060470064,2176175331210928.0
2025-02-24,2645.27,2,-9.31,-0.35,2636.12,2645.27,2626.88,536354114,10802085081805,2167788263381008.8
2025-02-25,2630.29,2,-14.98,-0.57,2617.64,2641.49,2617.12,410284831,10508475591510,2155255658945223.2
2025-02-26,2641.09,1,10.8,0.41,2629.86,2648.06,2620.16,386762622,11218719900855,2163540431082131.2
2025-02-27,2621.75,2,-19.34,-0.73,2637.63,2638.47,2610.47,513909805,10802121046832,2147708334692199.2
2025-02-28,2532.78,2,-88.97,-3.39,2585.61,2586.78,2531.24,588571521,15637224696362,2074378682303204.8
2025-03-04,2528.92,2,-3.86,-0.15,2522.2,2548.78,2513.31,484081351,13115384134880,2071277908689396.8
2025-03-05,2558.13,1,29.21,1.16,2548.45,2561.47,2535.18,569412248,13021641663686,2094580712219600.0
2025-03-06,2576.16,1,18.03,0.7,2573.55,2583.65,2565.57,609615704,11319665264837,2105642393608408.8
