Date,Open,High,Low,Close,Volume,Change
2024-02-20,203500,205500,202000,202500,708867,-0.49
2024-02-21,202000,203500,201000,202500,592041,0.0
2024-02-22,204000,204500,200500,202000,881700,-0.25
2024-02-23,202500,203000,200000,200500,731357,-0.74
2024-02-26,200000,201500,199500,199900,630834,-0.3
2024-02-27,199900,200500,198700,200000,650795,0.05
2024-02-28,200500,204000,199700,204000,597421,2.0
2024-02-29,200000,200500,195000,195000,2016957,-4.41
2024-03-04,194400,197400,192000,192000,1186323,-1.54
2024-03-05,191800,192800,188700,188700,1096733,-1.72
2024-03-06,189000,192800,189000,189800,876283,0.58
2024-03-07,191200,191500,188200,189000,775759,-0.42
2024-03-08,190000,190700,188000,188000,750757,-0.53
2024-03-11,188200,190900,188200,189900,653165,1.01
2024-03-12,190700,191200,188400,190500,708580,0.32
2024-03-13,191100,191200,188300,188400,812716,-1.1
2024-03-14,188800,189400,186800,186800,1148654,-0.85
2024-03-15,186100,188500,186000,186100,1015837,-0.37
2024-03-18,186200,186500,183200,184100,1054143,-1.07
2024-03-19,183200,183800,182100,182600,726483,-0.81
2024-03-20,183000,184400,182600,183100,569076,0.27
2024-03-21,184700,187800,184400,184400,1047858,0.71
2024-03-22,184600,190800,184600,188900,1280053,2.44
2024-03-25,187300,189400,185400,188000,654494,-0.48
2024-03-26,188000,191000,187300,188900,746583,0.48
2024-03-27,188900,191200,188400,189300,590542,0.21
2024-03-28,190000,190200,187100,187100,661837,-1.16
2024-03-29,187300,188900,185100,187400,633233,0.16
2024-04-01,188000,194500,188000,194300,1393825,3.68
2024-04-02,192500,193100,190500,192000,918137,-1.18
2024-04-03,191000,197300,190600,193400,1132978,0.73
2024-04-04,195900,196000,194100,194300,682404,0.47
2024-04-05,192100,193800,190000,193100,484403,-0.62
2024-04-08,193100,193200,188500,189900,614052,-1.66
2024-04-09,189100,190500,186600,189000,457312,-0.47
2024-04-11,186100,188300,183100,183600,1192681,-2.86
2024-04-12,184700,189300,184600,185900,835729,1.25
2024-04-15,183800,184600,182600,182800,636607,-1.67
2024-04-16,181600,181700,179500,179500,796179,-1.81
