Date,Close,UpDown,Comp,Change,Open,High,Low,Volume,Amount,MarCap
2024-08-16,786.33,1,9.5,1.22,787.34,788.86,783.88,1080401764,8000416337923,385133345751765.0
2024-08-19,777.47,2,-8.86,-1.13,787.32,788.79,776.71,1135628349,7653033410478,380846103315782.0
2024-08-20,787.44,1,9.97,1.28,783.73,787.95,783.35,997055956,7990594028319,386033655141317.0
2024-08-21,779.87,2,-7.57,-0.96,783.98,784.92,775.3,1073925725,8370581514289,382646545233872.0
2024-08-22,773.47,2,-6.4,-0.82,782.59,783.89,768.48,950992244,9216819054789,379694443123581.0
2024-08-23,773.26,2,-0.21,-0.03,765.49,774.2,764.83,904335444,7946182072114,379786318576817.0
2024-08-26,766.79,2,-6.47,-0.84,776.94,777.91,764.46,828774218,6632079806024,376585625383632.0
2024-08-27,764.95,2,-1.84,-0.24,765.1,767.37,757.08,833341263,6795551848116,375886355147186.0
2024-08-28,762.5,2,-2.45,-0.32,766.32,767.28,761.06,868583609,7021101423362,374666856319622.0
2024-08-29,756.04,2,-6.46,-0.85,756.33,758.99,754.0,837869661,7335104154370,371491367301772.0
2024-08-30,767.66,1,11.62,1.54,758.19,768.31,757.87,823296386,7401837254629,377597189627282.0
2024-09-02,769.21,1,1.55,0.2,769.85,770.01,764.15,742707830,7178329375308,378542486884402.0
2024-09-03,760.37,2,-8.84,-1.15,769.68,773.15,760.07,849513737,6831746427407,374349720452725.0
2024-09-04,731.75,2,-28.62,-3.76,738.59,741.52,729.32,1011497616,6941247399067,360422449720641.0
2024-09-05,725.28,2,-6.47,-0.88,736.96,740.23,718.25,950492046,7047558203629,357244944058860.0
2024-09-06,706.59,2,-18.69,-2.58,725.88,726.48,705.67,861738473,6232228791441,348066399454239.0
2024-09-09,714.46,1,7.87,1.11,696.25,716.11,693.86,784076383,5374290400915,351964616233758.0
2024-09-10,706.2,2,-8.26,-1.16,717.97,719.4,706.12,910266279,5812453459787,347842441472249.0
2024-09-11,709.42,1,3.22,0.46,709.5,718.65,706.93,1046880881,6411247080649,349448575951733.0
2024-09-12,731.03,1,21.61,3.05,719.29,733.81,719.29,870759113,6224173201511,360078539496711.0
2024-09-13,733.2,1,2.17,0.3,733.36,734.35,726.37,1015094209,5241893024711,361113744152190.0
